歌名,时间,歌手,专辑名字,歌单名称
One Last Time,3:27,Gromee/Jesper Jenset,One Last Time,【燃向】提神醒脑/高考/刷题/通宵/抖腿
Unstoppable,3:37,Sia,This Is Acting,【燃向】提神醒脑/高考/刷题/通宵/抖腿
The Greatest,3:30,Sia/Kendrick Lamar,The Greatest,【燃向】提神醒脑/高考/刷题/通宵/抖腿
Dancin (Krono Remix),3:18,Aaron Smith/Luvli/Krono,Dancin,【燃向】提神醒脑/高考/刷题/通宵/抖腿
Cooler Than Me (Radio Edit),2:59,Lucky Luke,Cooler Than Me (Radio Edit),【燃向】提神醒脑/高考/刷题/通宵/抖腿
EXHALE (feat. Sia),2:34,Kenzie/Sia,EXHALE (feat. Sia),抖腿卡点节奏｜给生活加点名叫快乐的料
Drive You Out 2.0,2:27,BEAUZ/Linney,"BEAUZWORLD, Vol.1",抖腿卡点节奏｜给生活加点名叫快乐的料
Run (ROBOTBEAT Remix),3:17,Eddd/ROBOTBEAT,Run (ROBOTBEAT Remix),抖腿卡点节奏｜给生活加点名叫快乐的料
Butterflies,2:56,Fiji Blue,Butterflies,抖腿卡点节奏｜给生活加点名叫快乐的料
Trust Nobody,3:31,DJ Snake,Trust Nobody,抖腿卡点节奏｜给生活加点名叫快乐的料
TROLLZ (with Nicki Minaj),3:22,6ix9ine/Nicki Minaj,TROLLZ (with Nicki Minaj),抖腿卡点节奏｜给生活加点名叫快乐的料
Wish I Never Met You,3:24,Loote,single.,抖腿卡点节奏｜给生活加点名叫快乐的料
Deep Blue (feat. Monika Santucci),3:21,William Black/Monika Santucci,Pages,抖腿卡点节奏｜给生活加点名叫快乐的料
What Do You Want,3:14,Emily Vaughn,What Do You Want,抖腿卡点节奏｜给生活加点名叫快乐的料
Every Little Thing,2:47,Deepend/Deb's Daughter,Every Little Thing,抖腿卡点节奏｜给生活加点名叫快乐的料
Feel Good Sunshine,2:52,Tim Myers,Technicolor,民谣小调｜纵享休闲时刻的惬意
Beautiful You,4:09,Monk & Neagle,The Twenty-First Time,民谣小调｜纵享休闲时刻的惬意
Mystery of Love - (电影《请以你的名字呼唤我》插曲),4:08,Sufjan Stevens,Call Me By Your Name (Original Motion Picture Soundtrack),民谣小调｜纵享休闲时刻的惬意
Everybody,3:29,Ingrid Michaelson,Everybody,民谣小调｜纵享休闲时刻的惬意
Say Hello,2:21,Rosie Thomas/Sufjan Stevens,These Friends Of Mine,民谣小调｜纵享休闲时刻的惬意
Stay Here Forever,2:59,Jewel,Sweet And Wild,民谣小调｜纵享休闲时刻的惬意
5 Years Time,3:35,Noah and the Whale,"Peaceful, The World Lays Me Down",民谣小调｜纵享休闲时刻的惬意
Lucky,3:20,Lenka,Lucky,民谣小调｜纵享休闲时刻的惬意
Top of the World,4:14,naomi & goro,HOME,民谣小调｜纵享休闲时刻的惬意
Chupee,2:54,Cocoon,My Friends all Died in a Plane Crash,民谣小调｜纵享休闲时刻的惬意
美丽的长火,10:14,Truesound Village,15个最放松的噼里啪啦的火声,哈利波特氛围白噪音
爱尔兰小篝火,8:56,Truesound Village,15个最放松的噼里啪啦的火声,哈利波特氛围白噪音
晚上冥想火声,9:23,Truesound Village,15个最放松的噼里啪啦的火声,哈利波特氛围白噪音
Warm Crackling Holiday Campfire,3:49,Fire Sounds,Warm Crackling Holiday Campfire,哈利波特氛围白噪音
Warm Crackling Fireplace Fire,2:17,Fire Sounds,Warm Crackling Fireplace Fire,哈利波特氛围白噪音
"Cat Purring, Pt. 28",1:50,Calming Sounds from TraxLab/Ambient Sounds from I'm In Records,Calming Sounds: Cat Purring Therapy,哈利波特氛围白噪音
Campfire Relaxing Sound,6:01,Fire Sounds/Relaxed Minds/FX Makers,Campfire Relaxing Sound,哈利波特氛围白噪音
Virtual Therapy - Fire Sounds,2:40,Cozy Sound Makers/Fire Sounds,Therapeutic Fire Tingles,哈利波特氛围白噪音
Anxiety Relief,3:47,Cozy Sound Makers/Fire Sounds,Therapeutic Fire Tingles,哈利波特氛围白噪音
Forgettable,3:14,Project 46/Olivia,Beautiful,超级治愈英文|纯音乐
风待ち,3:22,伍々慧,Bedtime Story,超级治愈英文|纯音乐
Alive Horizon (Tobu Mashup),3:52,Krewella/Tobu,Alive Horizon (Tobu Mashup),超级治愈英文|纯音乐
初夏的风,3:29,Hea2t,初夏的风,超级治愈英文|纯音乐
Titanium,3:30,MADILYN,"The Covers, Vol. 2",超级治愈英文|纯音乐
The Truth Untold,4:23,Piano Peace,Bts Piano Covers,超级治愈英文|纯音乐
Reach for the Light,3:47,Tim Be Told,Humanity,超级治愈英文|纯音乐
Take Me With You,3:58,Fleurie/Ruslan,Take Me With You,超级治愈英文|纯音乐
岸,2:38,魏琮霏,Wei,超级治愈英文|纯音乐
Astronomia (Original Mix),2:57,MaxRiven,Astronomia,听到能反杀的音乐 （超燃+理智）
Hold On,3:12,Fadi,Hold On,听到能反杀的音乐 （超燃+理智）
Wake,4:13,Capitol Kids!,Capitol Kids! Worship,听到能反杀的音乐 （超燃+理智）
Sakura,3:10,R3hab,Sakura,听到能反杀的音乐 （超燃+理智）
Sex on the Beach (Paolo Ortelli Vs Degree Edit),3:27,Spankers,Sex on the Beach,听到能反杀的音乐 （超燃+理智）
Catch My Breath (Suprafive Remix),4:35,Suprafive/Kelly Clarkson,Catch My Breath (Suprafive Remix),听到能反杀的音乐 （超燃+理智）
Don't Hurt,3:35,Mike Williams,Don't Hurt,听到能反杀的音乐 （超燃+理智）
I Want You to Know,3:58,Zedd/Selena Gomez,I Want You to Know,听到能反杀的音乐 （超燃+理智）
Scars To Your Beautiful,3:50,Alessia Cara,Know-It-All,听到能反杀的音乐 （超燃+理智）
Bangarang,3:35,Sirah/Skrillex,Deadpool 2 (Original Motion Picture Soundtrack),听到能反杀的音乐 （超燃+理智）
那个她,3:42,it 难,她,拂过你的风，是我给你最后的温柔
OA,2:55,吕明昊,OA,拂过你的风，是我给你最后的温柔
关于孤独我想说的话,4:51,隔壁老樊,我曾,拂过你的风，是我给你最后的温柔
有可能的夜晚,4:39,曾轶可,会飞的贼,拂过你的风，是我给你最后的温柔
夜长梦多,3:33,李上安,秋千,拂过你的风，是我给你最后的温柔
少年,4:40,邹玲儿(LIMY),少年,拂过你的风，是我给你最后的温柔
像鱼,4:45,王贰浪,像鱼,拂过你的风，是我给你最后的温柔
就当他没来过,4:41,陈壹千,就当他没来过,拂过你的风，是我给你最后的温柔
恋爱的距离,3:46,刘梓炎,恋爱的距离,拂过你的风，是我给你最后的温柔
Hold On,3:12,Fadi,Hold On,『游戏』玩游戏通宵必备/节奏感强
C U Again,3:22,Cartoon/Futuristik,NCS: The Best of 2016,『游戏』玩游戏通宵必备/节奏感强
Remember Our Summer,2:43,FrogMonster,Remember Our Summer,『游戏』玩游戏通宵必备/节奏感强
The #IcePack Rises (Original Mix),3:43,EnV,The #IcePack Rises,『游戏』玩游戏通宵必备/节奏感强
Op Opa,2:53,Gaullin,Op Opa,『游戏』玩游戏通宵必备/节奏感强
Into You,2:41,Matisse & Sadko/Hanne Mj??en,Into You,『游戏』玩游戏通宵必备/节奏感强
Akiba,2:33,Synthion,Akiba,『游戏』玩游戏通宵必备/节奏感强
Renaissance,2:57,Steve James/Clairity,Renaissance,『游戏』玩游戏通宵必备/节奏感强
Pain,4:54,Worezh,Pain,『游戏』玩游戏通宵必备/节奏感强
Valkyrie,3:39,EnV,Valkyrie,『游戏』玩游戏通宵必备/节奏感强
Old Town Road,1:53,Lil Nas X,Old Town Road,【打游戏必备】闪开，劳资要1v9
Burnin' Up (Aero Chord Remix),3:44,Jessie J/2 Chainz/Aero Chord,Trap Top 50,【打游戏必备】闪开，劳资要1v9
奇妙なお寺,2:14,G23,奇妙なお寺,【打游戏必备】闪开，劳资要1v9
Selector,3:53,Rezz,Something Wrong Here,【打游戏必备】闪开，劳资要1v9
ＴＯＫＹＯ ＤＲＩＦＴ  『 东京ドリフト 』,2:47,顿 SUDDEN DEATH 死,ＴＯＫＹＯ ＤＲＩＦＴ 『 东京ドリフト 』,【打游戏必备】闪开，劳资要1v9
Brass,3:02,Dirty Rush & Gregor Es,Brass,【打游戏必备】闪开，劳资要1v9
孤凌单行,3:19,孤凌单行,孤凌单行,【打游戏必备】闪开，劳资要1v9
黑武,3:57,N2V,MAVERICKS VOLUME II,【打游戏必备】闪开，劳资要1v9
川上富江Kawakami Tomie,4:05,FAT TIGER,川上富江Kawakami Tomie,【打游戏必备】闪开，劳资要1v9
Pure Sunlight,5:37,Mr FijiWiji/Laura Brehm,Monstercat 018 - Frontier,【打游戏必备】闪开，劳资要1v9
Where's My Love (Acoustic),3:59,Syml,Where's My Love (Acoustic),〔吉他与猫〕当夕阳的余晖落在琴弦上
Symmetry,3:18,JT Roach/Emily Warren,Symmetry,〔吉他与猫〕当夕阳的余晖落在琴弦上
Road Too Long,4:08,Allan Taylor,Color To the Moon,〔吉他与猫〕当夕阳的余晖落在琴弦上
Train to Rome,4:12,Birch Book,Birch Book,〔吉他与猫〕当夕阳的余晖落在琴弦上
Hallelujah,4:27,Boyce Avenue,Hallelujah,〔吉他与猫〕当夕阳的余晖落在琴弦上
Hurt,3:37,Johnny Cash,Hurt,〔吉他与猫〕当夕阳的余晖落在琴弦上
Oceans Deep,4:01,Sons Of Day,Fragile People,〔吉他与猫〕当夕阳的余晖落在琴弦上
Cue the Sun!,3:33,Daphne Loves Derby,"Goodnight, Witness Light",〔吉他与猫〕当夕阳的余晖落在琴弦上
Anyway,5:12,Noah Kahan,Cape Elizabeth,〔吉他与猫〕当夕阳的余晖落在琴弦上
Anchor,4:17,Novo Amor,Anchor,〔吉他与猫〕当夕阳的余晖落在琴弦上
所念皆星河,3:40,CMJ,所念皆星河,【纯音乐】温柔治愈系纯音乐
银河赴约 - (网易云音乐助力高考自制曲目),3:23,网易云音乐校园/CMJ,银河赴约,【纯音乐】温柔治愈系纯音乐
忧伤还是快乐（长笛版）,3:56,桑子,My soul,【纯音乐】温柔治愈系纯音乐
「 没 有 感 同 身 受 」,2:08,Slitmy7/Natsu.,在 这 个 世 界 上,【纯音乐】温柔治愈系纯音乐
pure imagination,1:44,ROOK1E/J'san,pure imagination,【纯音乐】温柔治愈系纯音乐
My Soul (inst.) (Bonus Track),3:51,July,Beyond The Memory,【纯音乐】温柔治愈系纯音乐
Star river in your eyes-满目星河,2:26,MappleZS,MappleZS,【纯音乐】温柔治愈系纯音乐
我们别时和见时不同,5:08,饭碗的彼岸,我们别时和见时不同,【纯音乐】温柔治愈系纯音乐
love9（纯音乐 抖音治愈版）（翻自 江辰）,2:09,邓壬鑫,抖音治愈纯乐辑,【纯音乐】温柔治愈系纯音乐
Alane (Yves V Remix),2:26,Robin Schulz/Wes/Yves V,Alane (Yves V Remix),Pamela Reif魔鬼帕梅拉运动歌单
Broke (feat. Joel Crouse) [Alle Farben Remix],2:54,Wave Wave/Joel Crouse/Alle Farben,Broke (feat. Joel Crouse) [Alle Farben Remix],Pamela Reif魔鬼帕梅拉运动歌单
Cry for You,2:23,Hyperclap,Cry for You,Pamela Reif魔鬼帕梅拉运动歌单
Take You Dancing,3:10,Jason Derulo,Take You Dancing,Pamela Reif魔鬼帕梅拉运动歌单
Funny,3:41,Zedd/Jasmine Thompson,Funny,Pamela Reif魔鬼帕梅拉运动歌单
Say It Again,3:36,Griff,Say It Again,Pamela Reif魔鬼帕梅拉运动歌单
Head & Heart (feat. MNEK) [Acoustic],3:38,Joel Corry/MNEK,Head & Heart (feat. MNEK) [Acoustic],Pamela Reif魔鬼帕梅拉运动歌单
Please Don't Make Me Cry,5:15,Lianne La Havas,Lianne La Havas,Pamela Reif魔鬼帕梅拉运动歌单
Goodbye so Long,3:08,spring gang/Mia Pfirrman,Goodbye so Long,Pamela Reif魔鬼帕梅拉运动歌单
Ride with You,3:33,spring gang/Andy Delos Santos,Ride With You,Pamela Reif魔鬼帕梅拉运动歌单
Salt,3:02,Ava Max,Salt,黑胶欧美热歌榜｜宝藏歌曲一网打尽
Play Date,2:59,Melanie Martinez,Cry Baby (Deluxe Edition),黑胶欧美热歌榜｜宝藏歌曲一网打尽
Dance Monkey,3:29,Tones and I,Dance Monkey,黑胶欧美热歌榜｜宝藏歌曲一网打尽
See You Again - (有缘再见),3:50,Wiz Khalifa/Charlie Puth,Furious 7 (Original Motion Picture Soundtrack),黑胶欧美热歌榜｜宝藏歌曲一网打尽
Five Hundred Miles - (500英里),3:26,Justin Timberlake/Carey Mulligan/Stark Sands,Inside Llewyn Davis: Original Soundtrack Recording,黑胶欧美热歌榜｜宝藏歌曲一网打尽
Love Story,3:56,Taylor Swift,Fearless,黑胶欧美热歌榜｜宝藏歌曲一网打尽
Shape of You,3:51,Ed Sheeran,Shape Of You,黑胶欧美热歌榜｜宝藏歌曲一网打尽
Inainte Sa Ne Fi Nascut (Dirty Nano Remix),5:42,The Motans/Dirty Nano,Inainte Sa Ne Fi Nascut (Dirty Nano Remix),黑胶欧美热歌榜｜宝藏歌曲一网打尽
Spin With You,3:32,Emma Sameth/Jeremy Zucker/WOLFE,Spin With You,黑胶欧美热歌榜｜宝藏歌曲一网打尽
Sweet but Psycho,3:07,Ava Max,Sweet but Psycho,黑胶欧美热歌榜｜宝藏歌曲一网打尽
Clean and Sober,2:21,Anya Marina,Miss Halfway,<歌荒清除>你是否还记得，那份最初的感动
The Morning,3:32,Valleyz,The Morning,<歌荒清除>你是否还记得，那份最初的感动
Stuck On You,3:12,RAC/Phil Good,Stuck On You,<歌荒清除>你是否还记得，那份最初的感动
Dancing With Your Ghost,3:17,Sasha Sloan,Dancing With Your Ghost,<歌荒清除>你是否还记得，那份最初的感动
Kool Aid,3:44,Katelyn Tarver,Kool Aid,<歌荒清除>你是否还记得，那份最初的感动
Sunday,2:33,Sara Diamond,Sunday,<歌荒清除>你是否还记得，那份最初的感动
Real Thing,2:43,La Felix/Becca Krueger,Real Thing,<歌荒清除>你是否还记得，那份最初的感动
Take a Bow,3:48,Rihanna,Good Girl Gone Bad,<歌荒清除>你是否还记得，那份最初的感动
We Are Never Ever Getting Back Together,3:07,Megan Nicole,We Are Never Ever Getting Back Together,<歌荒清除>你是否还记得，那份最初的感动
Feels Right,3:19,MYRNE/JPB/Yung Fusion,Feels Right,<歌荒清除>你是否还记得，那份最初的感动
古诗中国,4:40,国风物语/三无MarBlue/磊SIR/国风堂,古诗中国,我在俗世享受生活，体验最美的烟火。
南飞的雁,4:52,支光远,都说她如梦,我在俗世享受生活，体验最美的烟火。
额尔古纳,4:05,陈鸿宇,一如年少模样,我在俗世享受生活，体验最美的烟火。
暗河,5:27,冯佳界,冯佳界制作习作集,我在俗世享受生活，体验最美的烟火。
十二,4:35,留声玩具,曾以为梦想遥不可及,我在俗世享受生活，体验最美的烟火。
小桥,4:32,暗杠,小桥,我在俗世享受生活，体验最美的烟火。
南,3:03,Jam,南,我在俗世享受生活，体验最美的烟火。
胭脂粉,5:32,周末,胭脂粉,我在俗世享受生活，体验最美的烟火。
胡话日记,4:43,王圣夫,胡话日记(demo）,我在俗世享受生活，体验最美的烟火。
忘记要多少年,3:42,吕不三,忘记要多少年,我在俗世享受生活，体验最美的烟火。
Day Dreaming,3:31,Jack & Jack,A Good Friend Is Nice,夏日甜风丨在阳光下做海盐柠檬味的梦
Just Friends,2:48,Virginia To Vegas,Just Friends,夏日甜风丨在阳光下做海盐柠檬味的梦
Let Me,3:05,ZAYN,Let Me,夏日甜风丨在阳光下做海盐柠檬味的梦
Intentions (Acoustic),2:40,Justin Bieber,Intentions (Acoustic),夏日甜风丨在阳光下做海盐柠檬味的梦
Stuck with U,3:48,Ariana Grande/Justin Bieber,Stuck with U,夏日甜风丨在阳光下做海盐柠檬味的梦
Wildflower,2:58,Ida Red,Wildflower,夏日甜风丨在阳光下做海盐柠檬味的梦
Pooh Bear,3:33,Happy Sometimes,Pooh Bear,夏日甜风丨在阳光下做海盐柠檬味的梦
All My Friends Are Rich,3:05,filous/Louis III,All My Friends Are Rich,夏日甜风丨在阳光下做海盐柠檬味的梦
Pink Champagne,3:42,Nick Lopez,Pink Champagne,夏日甜风丨在阳光下做海盐柠檬味的梦
Summer on You,3:25,PRETTYMUCH,Summer on You,夏日甜风丨在阳光下做海盐柠檬味的梦
Lemonade,2:51,Resident,Lemonade,「Pinky」泛着梦幻色泽的夏日汽水??
No One,2:36,Koosen/Avocuddle/R??DY,No One,「Pinky」泛着梦幻色泽的夏日汽水??
summer,2:47,keshi,summer,「Pinky」泛着梦幻色泽的夏日汽水??
side effects,4:14,Shura,forevher,「Pinky」泛着梦幻色泽的夏日汽水??
Swings,3:20,Duumu/Hikaru Station,Swings,「Pinky」泛着梦幻色泽的夏日汽水??
Caffeine,2:39,Lolo Zoua??,High Highs to Low Lows,「Pinky」泛着梦幻色泽的夏日汽水??
Dawn Ember,3:20,Adib Sin/Azuria Sky/Leopold,Dawn Ember,「Pinky」泛着梦幻色泽的夏日汽水??
Maybe,2:29,Tim Schaufert/Chymes,Maybe,「Pinky」泛着梦幻色泽的夏日汽水??
Limbo,2:20,Resident,Limbo,「Pinky」泛着梦幻色泽的夏日汽水??
Still Here (feat. Azuria Sky),2:38,Adib Sin/Azuria Sky,Still Here (feat. Azuria Sky),「Pinky」泛着梦幻色泽的夏日汽水??
Summer Boy,4:56,中国BOY/花少北/LexBurner/老西红柿/某幻君,Summer Boy,阴阳怪气男团 / 阴阳怪气F5 / 上海zoo
考神,3:36,某幻君/老西红柿/杨秋儒,考神,阴阳怪气男团 / 阴阳怪气F5 / 上海zoo
电子羊,3:13,某幻君/中国BOY,电子羊,阴阳怪气男团 / 阴阳怪气F5 / 上海zoo
自夸小队,3:40,某幻君/老西红柿/中国BOY/花少北,自夸小队,阴阳怪气男团 / 阴阳怪气F5 / 上海zoo
Back to dream.（翻自 三毛同学）,2:51,某幻君,马了丁大,阴阳怪气男团 / 阴阳怪气F5 / 上海zoo
秃爵,2:45,某幻君/老西红柿,秃爵,阴阳怪气男团 / 阴阳怪气F5 / 上海zoo
猪猪女孩（Prod.by Zj-alvSoN）,3:05,老西红柿,猪猪女孩,阴阳怪气男团 / 阴阳怪气F5 / 上海zoo
8bitBOY,1:29,中国BOY/小可儿,新,阴阳怪气男团 / 阴阳怪气F5 / 上海zoo
动感BOY,2:22,中国BOY/小可儿,新,阴阳怪气男团 / 阴阳怪气F5 / 上海zoo
BYE,3:06,中国BOY/Kolaa,中国BOY视频结尾outro,阴阳怪气男团 / 阴阳怪气F5 / 上海zoo
Talk Talk,3:35,Cannons,Talk Talk,「欧美女声」13°微醺??温柔晚风轻抚耳畔
Cry Baby,3:14,Priscilla Ahn,When You Grow Up,「欧美女声」13°微醺??温柔晚风轻抚耳畔
Cut Loose,3:25,Emma Bale,Cut Loose,「欧美女声」13°微醺??温柔晚风轻抚耳畔
Love Back,2:46,Gabrielle Aplin,Dear Happy,「欧美女声」13°微醺??温柔晚风轻抚耳畔
Keep Cold,3:56,Numcha,Keep Cold,「欧美女声」13°微醺??温柔晚风轻抚耳畔
Constellate,3:18,Fleurie,Portals,「欧美女声」13°微醺??温柔晚风轻抚耳畔
The Reason,3:09,Bobina,The Reason,「欧美女声」13°微醺??温柔晚风轻抚耳畔
All Of You,3:48,Colbie Caillat,All Of You,「欧美女声」13°微醺??温柔晚风轻抚耳畔
Bittersweet,3:22,Alexa Lusader,Bittersweet,「欧美女声」13°微醺??温柔晚风轻抚耳畔
Hey Soul Sister (Natio Tropical Remix),4:07,Natio/Train,Hey Soul Sister (Natio Tropical Remix),冰镇小室※带你体验转瞬清凉的夏日电子
Weather (Matthew Heyer Remix),4:49,Matthew Heyer/Novo Amor,Weather (Matthew Heyer Remix),冰镇小室※带你体验转瞬清凉的夏日电子
Let The River In (Ehrling Remix),2:56,Ehrling/Dotan,Let The River In (Ehrling Remix),冰镇小室※带你体验转瞬清凉的夏日电子
Holland (Matthew Heyer Remix),3:30,Matthew Heyer/Novo Amor,Holland (Matthew Heyer Remix).,冰镇小室※带你体验转瞬清凉的夏日电子
Where Are U?? Now (Topface Remix),4:36,Jack ??/Ember Island/Topface,Where Are U?? Now (Topface Remix),冰镇小室※带你体验转瞬清凉的夏日电子
Let Me Love You (Terry Zhong Remix),3:38,Terry Zhong 钟天利,Let Me Love You (Terry Zhong Remix),冰镇小室※带你体验转瞬清凉的夏日电子
When I was your man (Arnon Remix),4:07,Arnon/Bruno Mars,When I was your man (Arnon Remix),冰镇小室※带你体验转瞬清凉的夏日电子
See You Again(Nysveen Remix),5:19,Nysveen/Wiz Khalifa/Charlie Puth,See You Again  (Nysveen Remix),冰镇小室※带你体验转瞬清凉的夏日电子
Apologize (Mike Wit Remix),5:14,Mike Wit/OneRepublic,Apologize (Mike Wit Remix),冰镇小室※带你体验转瞬清凉的夏日电子
